                                     | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7      
  Instructions                       |     29606935 |      3693889 |      3691866 |      3692164 |      3694142 |      3692337 |      3691901 |      3691131
  Cycles                             |  17136919503 |  17136919503 |  17136919503 |  17136919503 |  17136919503 |  17136919503 |  17136919503 |  17136919503
  IPC                                |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  Time (ns)                          |   6442450941 |   6442450941 |   6442450941 |   6442450941 |   6442450941 |   6442450941 |   6442450941 |   6442450941
  Idle time (ns)                     |   6436058403 |   6442061451 |   6442061748 |   6442061682 |   6442061399 |   6442061663 |   6442061711 |   6442061850
  Idle time (%)                      |        99.9% |       100.0% |       100.0% |       100.0% |       100.0% |       100.0% |       100.0% |       100.0%
TLB Summary                          |              |              |              |              |              |              |              |             
  I-TLB                              |              |              |              |              |              |              |              |             
    num accesses                     |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
    num misses                       |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
    miss rate                        |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                             |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  L2 TLB                             |              |              |              |              |              |              |              |             
    num accesses                     |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
    num misses                       |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
    miss rate                        |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                             |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
Cache Summary                        |              |              |              |              |              |              |              |             
  Cache L1-I                         |              |              |              |              |              |              |              |             
    num cache accesses               |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
    num cache misses                 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
    miss rate                        |         inf% |         inf% |         inf% |         inf% |         inf% |         inf% |         inf% |         inf%
    mpki                             |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  Cache L1-D                         |              |              |              |              |              |              |              |             
    num cache accesses               |     10303683 |       921064 |       920189 |       920284 |       921118 |       920335 |       920216 |       919858
    num cache misses                 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
    miss rate                        |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                             |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  Cache L2                           |              |              |              |              |              |              |              |             
    num cache accesses               |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
    num cache misses                 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
    miss rate                        |         inf% |         inf% |         inf% |         inf% |         inf% |         inf% |         inf% |         inf%
    mpki                             |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  Cache L3                           |              |              |              |              |              |              |              |             
    num cache accesses               |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
    num cache misses                 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
    miss rate                        |         inf% |         inf% |         inf% |         inf% |         inf% |         inf% |         inf% |         inf%
    mpki                             |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
DRAM summary                         |              |              |              |              |              |              |              |             
  num dram accesses                  |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  average dram access latency (ns)   |          inf |          inf |          inf |          inf |          inf |          inf |          inf |          inf
  average dram queueing delay        |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  average dram bandwidth utilization |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
Coherency Traffic                    |              |              |              |              |              |              |              |             
  num loads from dram                |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  num loads from dram cache          |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  num loads from remote cache        |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
